id,批次,清单类型,备案月份,算法名称,算法类别_原始,算法类别_LLM,企业角色,企业名称,应用产品,主要用途,发放日期,注册资本_万元,省份,城市,县区,行业一级,行业二级,行业三级,经度,纬度,技术代际
24,第一批,深度合成,2023-06,菜鸟物流智能客服算法,深度合成,人机对话,服务提供者,杭州菜鸟物流信息科技有限公司,菜鸟（APP、小程序）,应用于智能客服场景，根据用户提问分析用户诉求，生成文本智能回答。,2022-08-12,1000,浙江省,杭州市,余杭区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.023231,30.278950,G4
25,第一批,深度合成,2023-06,讯飞语音识别算法,深度合成,智能搜索,服务提供者,科大讯飞股份有限公司,讯飞输入法（APP）,应用于文本生成场景，提取语音中声学特征，结合语言模型，识别短音频，生成文本信息。,2022-08-12,231173,安徽省,合肥市,合肥高新技术产业开发区,教育,教育,技能培训、教育辅助及其他教育,117.143740,31.830948,G3
26,第一批,深度合成,2023-06,讯飞星火认知大模型算法,深度合成,人机对话,服务技术支持者,科大讯飞股份有限公司,未回填,应用于开放域对话生成场景，利用文本、代码、prompt数据及用户反馈数据训练AI大模型，服务于问答、咨询类的企业端客户，通过API提供文本生成服务。,2022-08-12,231173,安徽省,合肥市,合肥高新技术产业开发区,教育,教育,技能培训、教育辅助及其他教育,117.143740,31.830948,G4
27,第一批,深度合成,2023-06,美图图像深度合成类算法,深度合成,内容生成,服务提供者,厦门美图网科技有限公司,美图设计室（APP）、美图秀秀（APP）、美颜相机（APP）等,应用于图像生成场景，基于图像内容理解结果，实现对用户上传照片的艺术化重新生成。,2022-08-12,3200,福建省,厦门市,未回填,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,118.114807,24.430743,G4
28,第一批,深度合成,2023-06,UC小蜜智能客服算法,深度合成,人机对话,服务提供者,广州市动景计算机科技有限公司,UC浏览器（APP）,应用于在线智能客服场景，利用自然语言技术定位用户需求，生成文本、图像、音频、视频等形式的回答。,2022-08-12,30000,广东省,广州市,天河区,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,113.410326,23.185128,G4
29,第一批,深度合成,2023-06,易次元生成合成算法,深度合成,内容生成,服务提供者,广州网易计算机系统有限公司,易次元（APP）,应用于对话生成场景，根据用户输入内容，应用对话模型，生成对话文本回复。,2022-08-12,2000,广东省,广州市,天河区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.417056,23.179787,G4
30,第一批,深度合成,2023-06,酷狗音乐语音克隆算法,深度合成,内容生成,服务提供者,广州酷狗计算机科技有限公司,酷狗音乐（APP）,应用于音频生成场景，基于用户录音数据，提取用户音色特征，生成与用户音色一致的音频信息。,2022-08-12,786,广东省,广州市,天河区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.384748,23.117885,G4
31,第一批,深度合成,2023-06,酷狗音乐歌声合成算法,深度合成,内容生成,服务提供者,广州酷狗计算机科技有限公司,酷狗概念版(APP)、酷狗音乐(APP),应用于音频生成场景，基于用户歌唱录音数据，提取用户音色特征，制作歌曲。,2022-08-12,786,广东省,广州市,天河区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.384748,23.117885,G4
32,第一批,深度合成,2023-06,音书语音识别算法,深度合成,智能搜索,服务提供者,广州音书科技有限公司,音书（APP）,应用于语音转文字场景，识别实时录音数据，生成识别后的文本信息。,2022-08-12,113,广东省,广州市,番禺区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.405326,23.046646,G3
33,第一批,深度合成,2023-06,秀脸FacePlay人脸融合算法,深度合成,智能搜索,服务提供者,深圳市鹏中科技有限公司,秀脸FacePlay（APP）,应用于人脸图像、视频生成场景，将用户上传的照片与特定形象进行面部融合，生成融合后的人脸图像、视频。,2022-08-12,100,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.903417,22.515046,G4
34,第一批,深度合成,2023-06,腾讯云人脸融合算法,深度合成,智能搜索,服务技术支持者,深圳市腾讯计算机系统有限公司,未回填,应用于人脸图像、视频生成场景，服务于图像、视频编辑类的企业端客户，通过API提供用户面部特征融合功能。,2022-08-12,6500,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.934457,22.540822,G4
35,第一批,深度合成,2023-06,腾讯会议虚拟背景算法,深度合成,智能搜索,服务提供者,深圳市腾讯计算机系统有限公司,腾讯会议（APP）,应用于视频会议场景，利用人像分割得到像素级背景区域，实现对视频背景区域的模糊或替换，生成背景虚化或背景替换后的视频。,2022-08-12,6500,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.934457,22.540822,G3
36,第一批,深度合成,2023-06,腾讯云语音合成算法,深度合成,内容生成,服务技术支持者,深圳市腾讯计算机系统有限公司,未回填,应用于文本转语音场景，服务于音频、视频合成类企业端客户，使用已授权的声优声纹信息，通过API提供文本转语音功能。,2022-08-12,6500,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.934457,22.540822,G4
37,第一批,深度合成,2023-06,腾讯音乐语音合成算法,深度合成,内容生成,服务提供者,腾讯音乐娱乐（深圳）有限公司,QQ音乐（APP）、全民K歌（APP）,应用于文本转语音场景，利用语音合成技术，将文本内容转化为有声读物。,2022-08-12,500,广东省,深圳市,南山区,信息传输、软件和信息技术服务业,软件和信息技术服务业,信息系统集成服务,113.880558,22.500406,G4
38,第一批,深度合成,2023-06,逗拍风格迁移算法,深度合成,内容生成,服务提供者,深圳市闪剪智能科技有限公司,逗拍（APP）,应用于视频制作场景，根据用户选择的模板，修改用户上传图片的风格，生成风格化视频。,2022-08-12,117,广东省,深圳市,宝安区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.865703,22.573997,G4
39,第一批,深度合成,2023-06,逗拍动作驱动算法,深度合成,内容生成,服务提供者,深圳市闪剪智能科技有限公司,逗拍（APP）,应用于人脸视频生成场景，将用户上传的照片与模板视频进行面部融合，生成与模板视频的人像表情和动作一致的人脸视频。,2022-08-12,117,广东省,深圳市,宝安区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.865703,22.573997,G4
40,第一批,深度合成,2023-06,逗拍人脸融合算法,深度合成,智能搜索,服务提供者,深圳市闪剪智能科技有限公司,逗拍（APP）,应用于人脸图像、视频生成场景，将用户上传的照片与特定形象进行面部融合，生成融合用户面部特征的人脸图像、视频。,2022-08-12,117,广东省,深圳市,宝安区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.865703,22.573997,G4
41,第一批,深度合成,2023-06,逗拍人脸属性编辑算法,深度合成,内容生成,服务提供者,深圳市闪剪智能科技有限公司,逗拍（APP）,应用于人脸图像编辑场景，通过修改用户上传照片中人脸属性信息，改变照片人物的外貌特征。,2022-08-12,117,广东省,深圳市,宝安区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,113.865703,22.573997,G4
42,第二批,深度合成,2023-08,一帧智能文本生成视频算法,深度合成,内容生成,服务提供者,新壹（北京）科技有限公司,一帧秒创（网站）、一帧视频（APP）,应用于视频生成场景，根据输入的文本、视频，结合素材库，生成视频。,2022-11-08,2549,北京市,北京市,西城区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.455370,39.961281,G4
43,第二批,深度合成,2023-08,360智脑文本生成算法,深度合成,人机对话,服务提供者,北京奇虎科技有限公司,360办公助手(其他)、360极速浏览器(APP)、360AI办公(APP)、360搜索(网站)、手心输入法(APP)、360AI搜索(APP)、360AI办公(网站)、360智脑(网站)、360AI浏览器(其他)、360AI浏览器(APP),应用于文本生成场景，根据用户输入的文本，生成相应的文本回复。,2022-11-08,50000,北京市,北京市,朝阳区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.490395,39.982772,G4
44,第二批,深度合成,2023-08,360智脑文本生成服务算法,深度合成,内容生成,服务技术支持者,北京奇虎科技有限公司,未回填,应用于文本生成场景，服务于文本生成和对话问答类企业端客户，根据用户提出的问题，实现知识问答、多轮对话、逻辑推理。,2022-11-08,50000,北京市,北京市,朝阳区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.490395,39.982772,G4
45,第二批,深度合成,2023-08,360智脑图像生成算法,深度合成,内容生成,服务提供者,北京奇虎科技有限公司,快剪辑(APP)、360极速浏览器(APP)、AI画师(小程序)、360AI办公(APP)、360鸿图(网站)、360AI办公(网站)、360智绘(网站)、360智脑(网站)、美片(APP)、360AI浏览器(APP),应用于图像生成场景，根据用户输入的文本、参考图片，生成与文本语义相匹配的图片。,2022-11-08,50000,北京市,北京市,朝阳区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.490395,39.982772,G4
46,第二批,深度合成,2023-08,祝语祝福视频合成算法,深度合成,内容生成,服务提供者,聚音数字传媒（北京）有限公司,祝语（APP）、祝语（小程序）,应用于视频生成场景，根据用户输入文本数据，生成祝福视频。,2022-11-08,300,北京市,北京市,朝阳区,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,电影和影视节目制作,116.565324,39.914527,G4
47,第二批,深度合成,2023-08,中科闻歌雅意大模型算法,深度合成,内容生成,服务技术支持者,北京中科闻歌科技股份有限公司,雅意(APP)、中科闻歌雅意大模型(网站),应用于文本生成场景，服务于企业端客户，根据用户输入的文本或指令数据，生成文本内容。,2022-11-08,15000,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.334046,39.987202,G4
48,第二批,深度合成,2023-08,有道子曰大模型算法,深度合成,人机对话,服务提供者,北京网易有道计算机系统有限公司,有道子曰大模型（网站）、网易有道词典（APP）、Hi Echo（网站）等,应用于智能对话场景，根据用户输入的文本数据，结合场景需求，通过大语言模型，生成符合用户意图的回答。,2022-11-08,500,北京市,北京市,海淀区,信息传输、软件和信息技术服务业,软件和信息技术服务业,其他信息技术服务业,116.307285,40.055996,G4
49,第二批,深度合成,2023-08,网易有道机器翻译算法,深度合成,内容生成,服务提供者,北京网易有道计算机系统有限公司,有道智云-语音翻译(网站)、有道智云-文档翻译（开发版）(网站)、有道翻译(网站)、有道智云-网页翻译(网站)、Hi Echo口语教练(小程序)、有道数字人视频翻译(网站)、有道速读(APP)、网易云课堂主站(小程序)、有道智云-图片翻译(网站)、有道速读(小程序)、有道AIbox(APP)、有道翻译(APP)、网易云课堂AI工坊(小程序)、中国大学MOOC(APP)、有道翻译官(APP)、有道智云-实时语音翻译(网站)、有道精品课(APP)、小P老师(APP)、小P老师(小程序)、有道小P(APP)、唱醒(APP)、有道博闻(APP)、有道智云-文本翻译(网站)、有道小P(小程序)、有道小P(网站)、有道留学听课宝(APP)、Hi Echo(APP)、有道智能硬件(其他)、Hi Echo(网站)、网易云课堂(APP)、网易有道词典(APP)、有道速读(网站),应用于机器翻译场景，根据用户输入的文本、语音、图片、网页、文档等多模态信息，生成指定目标语言的翻译内容。,2022-11-08,500,北京市,北京市,海淀区,信息传输、软件和信息技术服务业,软件和信息技术服务业,其他信息技术服务业,116.307285,40.055996,G4
50,第二批,深度合成,2023-08,智谱交互式内容生成算法,深度合成,内容生成,服务技术支持者,北京智谱华章科技有限公司,未回填,应用于多模态内容生成场景，服务于企业端客户，通过API提供根据输入的文本生成文本、代码等形式答案的功能。,2022-11-08,3622,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.330304,39.993942,G4
51,第二批,深度合成,2023-08,智谱文档解读生成算法,深度合成,内容生成,服务提供者,北京智谱华章科技有限公司,文档解读助手（网站）,应用于文本生成场景，根据输入的文档及问题文本，生成文本回答。,2022-11-08,3622,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.330304,39.993942,G4
52,第二批,深度合成,2023-08,智谱文本结构化生成算法,深度合成,内容生成,服务提供者,北京智谱华章科技有限公司,文本结构化生成器（网站）,应用于结构化文档生成场景，根据用户的文本诉求，通过深度合成模型，自动生成结构化文档。,2022-11-08,3622,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.330304,39.993942,G4
53,第二批,深度合成,2023-08,智谱多模态通用图生文算法,深度合成,内容生成,服务提供者,北京智谱华章科技有限公司,智谱清言（APP）,应用于智能对话场景，根据用户输入的文本、图片信息，生成符合用户预期的回答。,2022-11-08,3622,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.330304,39.993942,G4
54,第二批,深度合成,2023-08,红棉小冰语言模型算法,深度合成,内容生成,服务提供者,北京红棉小冰科技有限公司,小冰岛（APP）、X Eva（APP）,应用于文本生成场景，基于用户输入文本数据，实现自动文本摘要、机器翻译、问答对话生成等。,2022-11-08,2000,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.303685,39.985936,G4
55,第二批,深度合成,2023-08,小冰歌声合成算法,深度合成,内容生成,服务提供者,北京红棉小冰科技有限公司,小冰岛（APP）、X Eva（APP）,应用于歌声合成场景，根据用户输入的音符和歌词，生成符合用户需求的音频。,2022-11-08,2000,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.303685,39.985936,G4
56,第二批,深度合成,2023-08,小冰语音合成算法,深度合成,内容生成,服务提供者,北京红棉小冰科技有限公司,小冰岛（APP）、X Eva（APP）,应用于语音生成场景，根据输入的文本数据，实现文本转语音的功能。,2022-11-08,2000,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.303685,39.985936,G4
57,第二批,深度合成,2023-08,云知声语音合成算法,深度合成,内容生成,服务技术支持者,云知声智能科技股份有限公司,未回填,应用于语音合成场景，服务于企业端客户，根据用户输入的文本内容，通过深合学习和统计学习的方法，实现文本转语音的功能。,2022-11-08,6939,北京市,北京市,海淀区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,116.355941,40.063327,G4
58,第二批,深度合成,2023-08,云知声山海认知大模型算法,深度合成,内容生成,服务技术支持者,云知声智能科技股份有限公司,未回填,应用于智能对话场景，服务于企业端客户，根据用户输入的文本内容，应用对话模型，生成个性化文本回答。,2022-11-08,6939,北京市,北京市,海淀区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,116.355941,40.063327,G4
59,第二批,深度合成,2023-08,博特智能深度学习文本生成算法,深度合成,内容生成,服务技术支持者,北京信工博特智能科技有限公司,博特智能审核服务(网站),应用于文本生成场景，服务于企业端客户，基于用户输入文本数据，实现文章写作和续写功能。,2022-11-08,3000,北京市,北京市,朝阳区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301640,39.960496,G4
60,第二批,深度合成,2023-08,计算美学AIGC图像生成算法,深度合成,内容生成,服务提供者,北京计算美学科技有限公司,画宇宙AI商品作图（网站）、画宇宙（网站）,应用于图像生成场景，根据输入的文本、待处理图像、蒙版等，结合必要的图像分割、识别模块，经过图像生成模型，生成与输入匹配的图像。,2022-11-08,539,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.339026,39.998383,G4
61,第二批,深度合成,2023-08,光速智学文本生成算法,深度合成,内容生成,服务提供者,光速智学（北京）科技有限公司,写作机器人（APP）,应用于文本生成场景，根据输入的文本请求，自动生成符合要求的文本回复。,2022-11-08,200,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301582,40.053581,G4
62,第二批,深度合成,2023-08,快手生成合成算法,深度合成,内容生成,服务提供者,北京快手科技有限公司,快手(APP)、streamlake (APP)、一甜相机(APP)、回森(APP)、快影(APP)、快手创作者版(APP)、噗叽(APP)、快手极速版(APP),应用于人脸特效生成场景，对用户上传的图像或视频中人脸内容进行编辑和重新生成，实现人脸属性编辑、人脸动作迁移、人体动作迁移、风格化转换等功能。,2022-11-08,10101,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.299913,40.054300,G4
63,第二批,深度合成,2023-08,WPSAI文本生成算法-1,深度合成,内容生成,服务提供者,北京金山办公软件股份有限公司,WPS AI（APP）,应用于文本生成场景，根据用户输入的文本信息，结合用户意图，实现文档写作、阅读理解、概括总结等功能。,2022-11-08,46181,北京市,北京市,海淀区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,116.315069,40.056485,G4
64,第二批,深度合成,2023-08,天工大语言模型算法,深度合成,内容生成,服务提供者,昆仑万维科技股份有限公司,天工AI助手(APP)、天工AI搜索(小程序)、天工AI助手(网站),应用于对话生成场景，根据用户输入的文本，结合上下文信息，生成相应的文本回复。,2022-11-08,123149,北京市,北京市,东城区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.320108,39.975715,G4
65,第二批,深度合成,2023-08,文心大模型算法,深度合成,内容生成,服务提供者,北京百度网讯科技有限公司,文心一言（APP）、文心一言（网站）,应用于智能对话场景，根据用户提出的问题，结合上下文，生成相应的文字或多模态回答。,2022-11-08,134,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301400,40.050905,G4
66,第二批,深度合成,2023-08,文心大模型算法-2,深度合成,内容生成,服务技术支持者,北京百度网讯科技有限公司,未回填,应用于智能问答场景，服务于对话问答类企业端客户，根据用户提出的问题，结合上下文，生成相应的文本或多模态回答。,2022-11-08,134,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301400,40.050905,G4
67,第二批,深度合成,2023-08,百度数字人驱动算法,深度合成,内容生成,服务技术支持者,北京百度网讯科技有限公司,未回填,应用于数字人合成场景，服务于企业端客户，根据用户输入的文本、音频、视频等信息，结合深度学习、机器学习、图形学等领域知识，生成2D人像、3D写实、卡通形象等图片和视频。,2022-11-08,134,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301400,40.050905,G4
68,第二批,深度合成,2023-08,百度语音合成算法,深度合成,内容生成,服务技术支持者,北京百度网讯科技有限公司,未回填,应用于语音合成场景，服务于企业端客户，根据输入的文本数据，通过卷积神经网络、全链接网络搭建模型，实现文本转语音功能。,2022-11-08,134,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301400,40.050905,G4
69,第二批,深度合成,2023-08,好未来教育中英测评算法,深度合成,内容生成,服务技术支持者,北京世纪好未来教育科技有限公司,口算宝(APP),应用于在线教育场景，服务于企业端客户，根据输入的语音，结合语音识别模型与打分模型，输出语音得分。,2022-11-08,20000,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.318804,39.975592,G3
70,第二批,深度合成,2023-08,爱奇艺生成合成算法,深度合成,内容生成,服务提供者,北京爱奇艺科技有限公司,爱奇艺（APP）,应用于图像、视频生成场景，基于用户输入图片或视频数据，实现人脸属性编辑、人脸表情迁移、人体动作迁移等功能，生成图像、短视频内容。,2022-11-08,3000,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.313228,39.983752,G4
71,第二批,深度合成,2023-08,老照片鹏图智能修复算法,深度合成,内容生成,服务提供者,北京鹏图助梦科技有限公司,老照片修复（APP）,应用于图像生成场景，根据输入的图像，结合图像重建技术，生成修复后的图像。,2022-11-08,50,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,其他科技推广和应用服务业,116.311702,40.034235,G4
